title,latitude,longitude,description
"Randolph St. G. Walker, Jr. Tablet",40.64387358,-74.10879192,
Icon II,40.64429992,-74.10343267,
Robert Richard Randall,40.64486133,-74.10329092,
Obelisk,40.64474233,-74.10193742,
Neptune Fountain,40.64431225,-74.10079042,
Luis R. Lopez Memorial,40.61167433,-74.08500717,
"Stein, Goldie Veterans Square",40.74330742,-73.71853063,
72nd St Playground,40.77219408,-73.96770675,
Sophie Loeb Memorial Fountain,40.77576779,-73.96509579,
Bronx River Soldier,40.87755457,-73.87944479,
Neumann-Goldman Flagstaff Memorial,40.87723324,-73.87956358,
El Arbol de Esperanza,40.79304995,-73.93441355,
Tomorrow's Wind,40.7927309,-73.93558588,
East 107th Street Recreational Pier,40.78924616,-73.93696523,
Wollman Portrait,40.76815426,-73.97412777,
Sundial,40.77981125,-73.9699125,
Daniel Draper,40.77939925,-73.96903033,
Romeo and Juliet,40.78051667,-73.96870333,
Charles B. Stover Bench,40.78001896,-73.96931288,
King Wladyslaw Jagiello,40.77891833,-73.966695,
The Tempest (Prospero and Miranda),40.7805,-73.96864,
Lombard Lamp,40.76513317,-73.97336442,
Thomas Moore,40.76597933,-73.973216,
Jose Julian Marti,40.76606778,-73.97608425,
Simon Bolivar,40.76568896,-73.97578905,
Bolivar Plaza Plaque,40.76574459,-73.97586348,
William Tecumseh Sherman,40.76479716,-73.97307162,
Pulitzer Fountain,40.76403116,-73.97361779,
Kissena Park World War I Monument,40.74697617,-73.80604175,
Bayside Hills Memorial Flagstaff,40.75238372,-73.76454696,
Bayside Civil War Boulder,40.75580842,-73.76446372,
Thirteen Stone Pillars,40.89089168,-73.8914154,
Algernon Sydney Sullivan,40.88901321,-73.89296982,
Ulysses Simpson Grant,40.67300538,-73.96981444,
John F. Kennedy Memorial,40.67426317,-73.97017168,
Abraham Lincoln,40.67298645,-73.96995125,
The Navy,40.6729597,-73.96977236,
The Army: Genius of Patriotism Urging American Soldiers . .,40.67293521,-73.96998996,
Soldiers' and Sailors' Memorial Arch,40.67296627,-73.96986867,
Quadriga,40.67300513,-73.96987758,
Bailey Fountain,40.6738735,-73.9700865,
General Henry Warner Slocum,40.67343378,-73.96912722,
Major General Gouverneur Kemble Warren,40.67301353,-73.97065426,
Alexander J.C. Skene,40.67494004,-73.97031607,
Washington Irving Memorial,40.659039,-73.96329233,
Peter & Willie,40.65853133,-73.9629985,
Dragon Fountain,40.6585745,-73.963069,
Carl Maria von Weber Memorial,40.65846033,-73.96424633,
Kate Wollman Memorial Rink,40.65753452,-73.96483069,
Prospect Park Memorial,40.65713909,-73.96514213,
Mozart Memorial,40.65889391,-73.96513605,
Beethoven Memorial,40.65878474,-73.96482435,
Thomas Moore Memorial,40.65863013,-73.96449969,
Edvard Grieg Memorial,40.6585962,-73.96410799,
Abraham Lincoln,40.65838356,-73.96495511,
The Horse Tamers,40.65158917,-73.97170517,
Croquet Shelter,40.65318281,-73.96760102,
First Symphony of the Sea,40.57372317,-73.97554467,
Jackie Robinson and Pee Wee Reese,40.57489944,-73.98524967,
Belle Harbor Memorial Circle,40.57864055,-73.84103968,
Rockaway Mosaic,40.57771538,-73.83598188,
Gravesend Park Plaque,40.62401059,-73.98492582,
McKenna Square Seating Area,40.83850802,-73.93960003,
McKenna Square Greek Temple,40.83822213,-73.9389465,
Washington Heights-Inwood War Memorial,40.84039975,-73.93988502,
"Mitchel, John Purroy Tablet",40.83981735,-73.94015893,
James S.T. Stranahan,40.67214483,-73.96954167,
Police Officer Jose A. Perez Plaque,40.66824159,-73.97356541,
Dongan Oak Marker,40.66618067,-73.966539,
Line of Defense,40.66678017,-73.967513,
Bronx Parkway Fountain,40.87735679,-73.86844609,
East River Park Anchor,40.71283453,-73.97622605,
#11 Perspectives,40.80152971,-73.96786625,
Raoul Wallenberg Marker,40.70783722,-73.83751399,
Sergeant Joseph E. Schaefer Memorial,40.70177884,-73.84147296,
Joseph Rodman Drake Memorial,40.81037342,-73.88261517,
Women's League Memorial Grove,40.81059333,-73.96503225,
Amiable Child Memorial,40.81476109,-73.96316197,
Riverside Drive Viaduct,40.81788508,-73.96027914,
Bayard Rustin Plaque,40.74905926,-73.96989784,
The Isaiah Wall,40.74963728,-73.96958676,
Peace Form One,40.74949881,-73.96960491,
Raoul Wallenberg Monument,40.75181267,-73.96767231,
Armillary Sphere,40.75522672,-73.96212547,
Lead Vase,40.75503103,-73.96229525,
First Avenue Underpass,40.74833791,-73.97058235,
Holocaust Memorial,40.75201333,-73.96845833,
James Amster Plaque,40.75359859,-73.96377341,
Boar,40.75711501,-73.96009432,
The Roundabout,40.75921557,-73.95791424,
Richmond Hill War Memorial,40.70133541,-73.84155788,
Richmond Hill Flagstaff,40.70143212,-73.8415422,
Fort Washington Memorial,40.85246644,-73.93760989,
George Washington Bicentennial Tree Marker,40.85263067,-73.93783856,
Emilio Barbosa Memorial,40.8523749,-73.93801554,
Fort Washington Marker,40.85293841,-73.93835403,
Highest Natural Point in Manhattan,40.85293454,-73.93829651,
General Franz Sigel,40.8022941,-73.97008716,
Firemen's Memorial,40.79862708,-73.97335333,
Firemen's Memorial Tablet Horses,40.7986685,-73.97342508,
John Golden Park Plaque,40.77303283,-73.769891,
Gertie A. Gorman Memorial,40.85535072,-73.93222025,
Marine Amphitheater Groups,40.73909444,-73.84175496,
Gates of Life,40.74402545,-73.84956191,
Feltman Carousel,40.74329834,-73.8492913,
Henry Hudson Entrance,40.7424684,-73.85070411,
Forms in Transit,40.74827971,-73.85141072,
William F. Moore Memorial,40.74366273,-73.85541627,
Joseph Lisa Memorial Plaque,40.74357693,-73.85530401,
USMC Memorial,40.74362942,-73.85527508,
9/11 Memorial,40.74362727,-73.85528338,
George Washington as Master Mason,40.74900704,-73.84228598,
Ten Heroes Plaza,40.73998429,-73.85304604,
USTA Tennis Center Plaques,40.7483409,-73.84624704,
Soul in Flight: Arthur Ashe Memorial,40.74873969,-73.84637737,
Flushing Park Memorial,40.76338334,-73.83014951,
Alfred J. Kennedy Memorial Flagstaff,40.76305287,-73.83147979,
Bowdoin Horse Trough,40.76345994,-73.82986195,
Flushing Memorial,40.76365799,-73.82915307,
Flushing Bay Promenade Pavement,40.75951197,-73.8500246,
Garden of Meditation,40.74416112,-73.84019066,
Freedom of the Human Spirit,40.74788817,-73.845882,
Unisphere and Fountain,40.74641062,-73.84511974,
Unisphere Tablet,40.74659431,-73.84554831,
Unisphere Tablet,40.74598225,-73.84518757,
Unisphere Tablet,40.74618739,-73.84459059,
Unisphere Tablet,40.74676597,-73.84481023,
Free Form,40.74727189,-73.84681132,
Rocket Thrower,40.74739737,-73.84210192,
World's Fair Flagstaff,40.7479378,-73.8387413,
World's Fair Flagstaff,40.74892474,-73.83931579,
Police World's Fair,40.74570341,-73.84617297,
Etched Granite Pavement,40.74666585,-73.84423916,
Column of Jerash,40.74650938,-73.84232085,
New Amsterdam Entrance,40.7506844,-73.84989502,
Superheroes Mural,40.81166993,-73.91422953,
Joan of Arc Memorial,40.79413736,-73.97654729,
"Marx, Otto Tablet",40.78552422,-73.95840233,
John Purroy Mitchel,40.7844062,-73.95915487,
Albert Bertel Thorvaldsen,40.78861176,-73.95599681,
Friedel Memorial Drinking Fountain,40.78430992,-73.95867825,
William Thomas Stead Memorial,40.78472812,-73.95812737,
Night Presence IV,40.78410751,-73.95434645,
Drinking Fountain,40.789392,-73.96390492,
Fred Lebow Statue,40.78391758,-73.95894358,
Alexander Hamilton,40.78102343,-73.96456167,
Cleopatra's Needle (Egyptian Obelisk),40.77962667,-73.965395,
Jeanne E Kerbs,40.77390167,-73.96653833,
Robert Skirving Pirie,40.77362542,-73.96705392,
Richard Saunders Scott,40.77450333,-73.96630025,
Hans Christian Anderson,40.77448475,-73.9677035,
Alice Hochstader & Edward A Kerbs,40.77253342,-73.96715567,
Alice in Wonderland,40.77480202,-73.96671429,
The Pilgrim,40.77314009,-73.96840123,
Waldo Hutchins Bench,40.77273806,-73.96714974,
Hans Christian Andersen,40.77441621,-73.96756141,
Susan E. Wagner Tree Marker,40.77316882,-73.96231991,
NavyWalk Tablet,40.77434167,-73.97141783,
Marine Walk Tablet,40.77407311,-73.97031922,
Navy Terrace,40.77410089,-73.97088344,
Bethesda Fountain,40.77431064,-73.97083862,
Bethesda Fountain and Terrace,40.77397207,-73.97096353,
Cherry Hill Fountain,40.77468293,-73.97271385,
Naturalists Gate,40.779405,-73.97342283,
Alexander von Humbolt,40.7794855,-73.97335817,
Daniel Webster,40.77477167,-73.97408333,
The New York Times Capsule,40.78144542,-73.97478492,
Nobel Monument,40.78182274,-73.9752072,
Theodore Roosevelt,40.78084525,-73.97279662,
Sarah Willets Meyer Plaque,40.78943173,-73.78220696,
Alexander Lyman Holley,40.73113313,-73.99808374,
Washington Square Memorial Flagstaff,40.73102278,-73.99705689,
Giuseppe Garibaldi,40.73057145,-73.99686089,
Washington Square Fountain,40.73085103,-73.9975225,
Washington Square Arch,40.73122841,-73.99710657,
George Washington Accompanied by Fame and Valor,40.73122757,-73.99699799,
George Washington Accompanied by Wisdom and Justice,40.73130083,-73.99713663,
Margaret Loeb Kempner,40.73034724,-73.99780015,
Alamo,40.72989753,-73.99101194,
Peter Cooper,40.72882892,-73.99069758,
Argonne-Marine Memorial Oval Marker,40.59948233,-73.92978636,
Pratt and White Memorial Plaque,40.60783033,-73.93737433,
Prison Ship Martyrs Monument,40.69175885,-73.97555252,
Spanish Memorial Plaque,40.69147913,-73.97595603,
"General Edward ""Big Ned"" Fowler",40.68694964,-73.97571364,
Jumel-Morris Mansion Tablet,40.83452467,-73.93889678,
Eleventh Milestone Marker,40.83457789,-73.93838444,
"Brush, John T. Stairway",40.83248411,-73.93955044,
Hooper Fountain,40.83017254,-73.93997062,
Harlem Heights First Line of Defense Marker,40.82792444,-73.94940267,
Veterans Square Memorial,40.68310347,-73.76012702,
Brooklyn Remembers,40.6393775,-74.0377435,
John Merven Carrere Memorial,40.79791933,-73.97440833,
Women's Health Protective Association,40.80909525,-73.96600325,
Battle of Harlem Heights Marker,40.81209415,-73.96349914,
Chaplains Memorial,40.81209776,-73.96349438,
"Physicians, Surgeons and Nurses Plaque",40.81207968,-73.96351821,
Chinese Tablet (Grants Tomb),40.81398,-73.96277714,
Claremont Inn Tablet,40.81543278,-73.96200311,
Grant's Tomb,40.81346035,-73.9630567,
Grant's Tomb Eagles,40.81317582,-73.96305176,
Grant's Tomb Eagles,40.81323599,-73.96328191,
General Horace Porter Memorial,40.81305966,-73.96304944,
Major General Frederick D. Grant,40.8131915,-73.96336027,
General Daniel Butterfield,40.81254669,-73.96213833,
Pier A Clock Tower,40.70431226,-74.01841431,
East Coast Memorial,40.7021535,-74.01583758,
Wireless Operators Memorial,40.70245617,-74.01596058,
Peter Caesar Alberti Marker,40.70265308,-74.01639417,
Salvation Army Monument,40.703369,-74.01602575,
Norwegian Maritime Monument,40.70376483,-74.01734125,
Emma Lazarus Memorial Plaque,40.70363483,-74.01738633,
Jerusalem Grove,40.70438108,-74.01634842,
Giovanni Da Verrazano,40.70278067,-74.0165135,
Castle Clinton National  Monument Plaques,40.703444,-74.016519,
American Merchant Mariners Memorial,40.70401328,-74.01777883,
American Merchant Mariners Memorial Plaque,40.70400952,-74.01763715,
New York Korean War Memorial,40.70405933,-74.01705024,
Walloon Settlers Memorial,40.70401268,-74.01653131,
Marine Flagstaff,40.70172041,-74.01494023,
Coast Guard Memorial,40.70172421,-74.01527645,
River That Flows Two Ways,40.70269667,-74.01715,
Baruch Park Plaque,40.71676378,-73.97707544,
Bernard M. Baruch Memorial,40.71707423,-73.97667566,
Fort Tryon Park Tablet,40.86152167,-73.93355978,
Fort Tryon Park Flagstaff,40.86182245,-73.93296058,
Margaret Corbin Plaque,40.859428,-73.93367956,
Columnade,40.86133394,-73.93204421,
Isham Park Memorial,40.86897011,-73.91862711,
"Milestone, Isham",40.86842122,-73.91914228,
Cyrus Clark,40.78712458,-73.98161604,
Louis J. Heintz Memorial,40.82803508,-73.92320083,
Eleanor Roosevelt Memorial,40.78063556,-73.98578764,
Robert Ray Hamilton Fountain,40.78325578,-73.98462567,
Martin Bird Bath,40.76698114,-73.97189384,
Eagles,40.76769225,-73.97188467,
Eagles,40.76767372,-73.97182624,
Eagles,40.7677994,-73.97158553,
Eagles,40.76803227,-73.97157518,
Eagles,40.76806088,-73.97164985,
Eagles,40.76818042,-73.971645,
Eagles,40.76786629,-73.9719574,
Eagles,40.76792938,-73.97190464,
Eagles,40.76773686,-73.9716292,
Temporary Public Art,40.76516409,-73.97278091,
Zoo,40.76749108,-73.97088777,
Zoo,40.76744861,-73.97091937,
Wien Walk Plaques,40.76526787,-73.97277927,
Wien Walk Plaques,40.76523277,-73.9726901,
Wien Walk Plaques,40.76559979,-73.97226553,
Moses. Robert Memorial,40.7674198,-73.97143497,
American Museum of Natural History Tablet,40.76759746,-73.97131556,
James A. Sherry Plaque,40.76761449,-73.97137522,
Delacorte Musical Clock,40.76810626,-73.97115228,
Dancing Goat,40.76729268,-73.97192078,
Cactus Couple,40.7675804,-73.97136045,
Bird Flying Machine,40.76755721,-73.9713131,
Commissioner Newbold Morris,40.7674823,-73.97155196,
Doris C. Freedman Plaza Plaque,40.76519768,-73.97262245,
Seal of the State of NY,40.76758907,-73.97120059,
Arsenal Mural,40.76761438,-73.97125316,
Arsenal Landmark Plaque,40.76758529,-73.97124406,
Central Park Tablet,40.76762101,-73.97121906,
African Antelopes,40.76730031,-73.97183333,
Baboon and Mandrill,40.7680135,-73.97108009,
Caribou,40.76735493,-73.97206607,
"Cheetah, Leopard and Puma",40.76746007,-73.97219591,
Chimpanzee,40.7679717,-73.97076952,
Cockatoos and Ara,40.76720113,-73.97166265,
Cormorants,40.76722118,-73.9716748,
Deer,40.76741049,-73.97219458,
Eagles and Vultures,40.76722057,-73.9713922,
Gorilla,40.76792576,-73.97080999,
Lions,40.76827962,-73.97127279,
Marabou,40.76728413,-73.97160083,
Penguins,40.76728218,-73.9716304,
Ponies,40.76740272,-73.97217722,
Rhesus and Ring-Tailed Lemurs,40.76790881,-73.97087976,
Rocky Mountain Goats,40.76741651,-73.97221001,
Rocky Mountain Sheep,40.76713927,-73.97137906,
Swans,40.76717202,-73.97135589,
Tigers,40.7674498,-73.97220421,
Tigress and Cubs,40.76747208,-73.97230808,
Turkeys,40.76710637,-73.9714035,
Macaque and Orangoutang,40.76803264,-73.97108129,
American Antelopes,40.76794936,-73.97078747,
Honey Bear,40.76819804,-73.97123325,
Robert F. Wagner Tree Marker,40.76457341,-73.97084793,
Tisch Children's Zoo Gate,40.76863083,-73.97082475,
Samuel J. and Ethel Lefrak,40.76920908,-73.9697065,
107th Infantry Memorial,40.76934791,-73.96951414,
Wallach Walk Paver,40.76946989,-73.97037356,
Samuel Finley Breese Morse,40.77253966,-73.96756767,
Balto the Sled Dog,40.76997545,-73.97101285,
Antonio G Olivieri,40.77265192,-73.96772775,
Richard Morris Hunt,40.77160032,-73.96779785,
General Jose de San Martin,40.76603779,-73.9766397,
San Martin Tablet,40.7660365,-73.97655246,
Rt. Rev. Msgr. John P. Chidwick,40.76821894,-73.98095187,
U.S.S. Maine National Monument,40.7682293,-73.98102975,
7th Regiment Memorial,40.77373853,-73.97647669,
Giuseppe Mazzini,40.77326984,-73.97655858,
Gracie Mansion Tablet,40.77624359,-73.94291101,
Gracie Mansion Garden Tablet,40.77622707,-73.94250843,
Gracie Mansion Landmark Tablet,40.77684822,-73.94326645,
"Finley, John (John Finley Walk)",40.77432869,-73.94327789,
Peter Pan,40.77514396,-73.94325306,
Kryeti-Aekyad,40.76928079,-73.95007926,
Eaphae-Aekyad #2,40.76901104,-73.95026292,
City Island WWII Memorial,40.85575384,-73.79159738,
Lt. George W Lener Memorial,40.62197035,-74.11978803,
Private Joseph F Merrell Jr. Memorial,40.61547574,-74.10716983,
A Bird Named Goldilocks,40.61844276,-74.10630891,
Edgewater Village Hall Plaque,40.62658708,-74.077383,
Joseph H. Lyons Plaque,40.63766408,-74.07474133,
Kosciuszko-Pulaski Memorial,40.63065283,-74.09154833,
The Hiker,40.63761958,-74.07636958,
The Watering Place,40.63748383,-74.07617733,
Daniel D. Tompkins Memorial,40.63750067,-74.07649225,
Pleasant Plains Memorial,40.52389983,-74.21606508,
William G. Mitchell Plaque,40.80334511,-73.94439849,
Fire Watch Tower,40.80409189,-73.94356434,
Growth,40.8011833,-73.93882808,
Netanyahu Memorial,40.85691736,-73.8656818,
Frank Kelly Plaque,40.90698195,-73.89630407,
Chief Nimham Memorial,40.89930863,-73.87352933,
General Josiah Porter,40.8913108,-73.89480944,
Prison Window,40.89115459,-73.89467302,
Van Cortlandt House Plaque,40.89098632,-73.89481594,
Van Cortlandt Landmark Tablet,40.89096962,-73.89495037,
Van Cortlandt Mansion Landmarks Plaque,40.89096163,-73.89486959,
Adoption of the Constitution,40.89098507,-73.89453102,
Memorial Grove,40.89172234,-73.89678982,
Van Cortlandt Family Burial Plot,40.89601684,-73.89233266,
Battle of the Bulge,40.51876875,-74.18767683,
Jewish-American Tercentenary Flagstaff,40.702335,-74.01277108,
Jeanette Park Memorial,40.70256319,-74.00932022,
Vietnam Memorial,40.70266897,-74.00979748,
Corporal Louis Zimmerman,40.8661159,-73.86873456,
Boy Scouts of America Theodore Roosevelt Tree Marker,40.66783271,-73.97045847,
Historic Marker of Battle Pass,40.66638667,-73.9672625,
Panthers,40.66810531,-73.97358745,
Litchfield Villa Landmarks Tablet,40.66702224,-73.97378194,
Prospect Park 100th Anniversary Plaque,40.66699077,-73.97378766,
Lafayette Memorial,40.66447661,-73.97658849,
Entrance,40.66108504,-73.97933742,
Bartel-Pritchard Circle War Memorial,40.66100625,-73.97986616,
