title,latitude,longitude,description
TechSpace,40.72829386,-73.94379545,41 East 11th Street<br>http://www.techspace.com/
TechSpace,40.73340614,-73.99282722,95 Morton Street<br>http://www.techspace.com/
The Cellar,40.73148872,-74.00856232,325 East 14th Street<br>http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_The_Cellar_New_York_NY_17413.aspx
Cafe Ari,40.73213548,-73.98368674,3 Greenwich Ave<br>http://www.yelp.com/biz/dantes-gourmet-foods-new-york
Think Coffee,40.7101738,-74.00558232,118 Mercer Street<br>http://www.thinkcoffeenyc.com/
Applebee's,40.72826058,-73.9949964,205 West 50th Street<br>http://www.nyu.edu/src/cityguide/cityinfo.html
Eagle Communication,40.76152612,-73.98347722,1751 2nd Avenue<br>http://www.ezgoal.com/hotspots/wireless/f.asp?fid=151674&wireless-internet
Faces and Names,40.78151204,-73.94959818,161 West 54th Street<br>http://www.ezgoal.com/hotspots/wireless/f.asp?fid=122309&wireless-internet
Full City Coffee,40.76363785,-73.9809955,409 Grand Street<br>http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Full_City_Coffee_New_York_NY_6396.aspx
Schiller's Liquor Bar,40.7156821,-73.98739889,131 Rivington St.<br>http://www.wififreespot.com/ny.html
Naidre's,40.71937006,-73.98668785,502 Henry Street<br>http://www.naidres.com/
Amazon Café,40.68409223,-73.99964771,227 Smith St<br>http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Amazon_Cafe_New_York_NY_5572.aspx
Cafe Andalucia,40.6839361,-73.99210309,533 9th Avenue<br>http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Cafe_Andalucia_New_York_NY_10565.aspx
Caffe Med,40.7570071,-73.99397389,1268 2nd Avenue<br>http://usatoday.jiwire.com/wi-fi-wireless-hotspot-New-York-New-York-NY-US-Caffe-MED-1251392.htm
Cyclo,40.76518125,-73.96062941,203 1st Ave<br>www.cyclorestaurant.com
Digby's,40.73037831,-73.98361982,666 5th Avenue<br>www.digbyscafe.com
Happy 16 Diner,40.76037,-73.9767051,16 Pell Street<br>http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Happy_16_Diner_New_York_NY_12949.aspx
Hip Cup Café,40.71493977,-73.99783357,225 Park Row<br>http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Hip_Cup_Cafe_New_York_NY_13116.aspx
Les Halles Park Avenue,40.71307299,-73.9987805,411 Park Avenue South<br>http://www.leshalles.net
Les Halles Downtown,40.74352669,-73.98345108,15 John Street<br>http://www.leshalles.net
Lit Lounge,40.71010514,-74.00881902,93 2nd Avenue<br>http://www.litloungenyc.com
Risa,40.72718906,-73.98906123,47 E Houston St<br>http://www.nyu.edu/src/cityguide/cityinfo.html
Corner Scone,40.72461373,-73.99477479,4279 Webster Avenue<br>http://cornerscone.com/
My Little Wi-Fi,40.89826937,-73.86271912,144 East 7th St<br>http://www.barnesandnobleinc.com
Barnes & Noble,40.69071598,-73.99218549,267 7th Avenue<br>http://www.barnesandnobleinc.com
NYC Public Library - Allerton Branch,40.66887683,-73.97953353,2740 Barnes Avenue<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Belmont Branch,40.86680476,-73.86322249,610 E. 186th Street<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Bronx Library Center,40.85434724,-73.88788943,310 East Kingsbridge Road<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Grand Concourse Branch,40.86300214,-73.89456,155 East 173rd Street<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - High Bridge Branch,40.84400224,-73.91008714,78 West 168th Street<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Melrose Branch,40.83795924,-73.92353961,910 Morris Avenue<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Morris Park Branch,40.82659226,-73.91758265,985 Morris Park Avenue<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Morrisania Branch,40.84806678,-73.85697713,610 East 169th Street<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Mosholu Branch,40.83126405,-73.90178898,285 East 205th Street<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Mott Haven Branch,40.87438015,-73.87838435,321 East 140th Street<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Parkchester Branch,40.81160446,-73.92438265,1985 Westchester Avenue<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Sedgwich Branch,40.83373663,-73.85835522,1701 Martin Luther King Jr Blvd<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Tremont Branch,40.84949441,-73.91757753,1866 Washington Avenue<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Woodstock Branch,40.84604266,-73.89834025,761 East 160th Street<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Columbus Branch,40.8206419,-73.90462886,742 10th Avenue<br>http://www.nypl.org/branch/services/wifi.html
NYC Public Library for the Performing Arts,40.76493495,-73.99122082,40 Lincoln Center Plaza<br>http://www.nypl.org/branch/services/wifi.html
Queens Library - Arverne,40.77350732,-73.98454685,312 Beach 54 Street<br>http://www.queenslibrary.org/
Queens Library - Auburndale,40.59314711,-73.78404003,25-55 Francis Lewis Boulevard<br>http://www.queenslibrary.org/
Queens Library - Baisley Park,40.77375244,-73.79634319,117-11 Sutphin Boulevard<br>http://www.queenslibrary.org/
Queens Library - Bay Terrace,40.68031164,-73.79167861,18-36 Bell Boulevard<br>http://www.queenslibrary.org/
Queens Library - Bayside,40.78253154,-73.77700881,214-20 Northern Boulevard<br>http://www.queenslibrary.org/
Queens Library - Bellerose,40.76012591,-73.76836198,250-06 Hillside Avenue<br>http://www.queenslibrary.org/
Queens Library - Briarwood,40.73540282,-73.71726582,85-12 Main Street<br>http://www.queenslibrary.org/
Queens Library - Broad Channel,40.71003489,-73.81945312,16-26 Cross Bay Boulevard<br>http://www.queenslibrary.org/
Queens Library - Cambria Heights,40.60073244,-73.82005266,218-13 Linden Boulevard<br>http://www.queenslibrary.org/
Queens Library - Douglaston/Little Neck,40.69570922,-73.7411668,249-01 Northern Boulevard<br>http://www.queenslibrary.org/
Queens Library - East Flushing,40.76822576,-73.73822944,196-36 Northern Boulevard<br>http://www.queenslibrary.org/
Queens Library - Elmhurst  (ALC),40.75754601,-73.78430297,86-01 Broadway<br>http://www.queenslibrary.org/
Queens Library - Far Rockaway,40.73858179,-73.87675876,1637 Central Avenue<br>http://www.queenslibrary.org/
Queens Library - Flushing  (ALC),40.60448654,-73.75264129,41-17 Main Street<br>http://www.queenslibrary.org/
Queens Library - Forest Hills,40.7577921,-73.82886231,108-19 71 Avenue<br>http://www.queenslibrary.org/
Queens Library - Fresh Meadows,40.72214729,-73.843015,193-20 Horace Harding Expressway<br>http://www.queenslibrary.org/
Queens Library - Glendale,40.74154362,-73.78227583,78-60 73 Place<br>http://www.queenslibrary.org/
Queens Library - Hillcrest,40.702577,-73.87579711,187-05 Union Turnpike<br>http://www.queenslibrary.org/
Queens Library - Hollis,40.72925328,-73.78190892,202-05 Hillside Avenue<br>http://www.queenslibrary.org/
Queens Library - Howard Beach,40.72016876,-73.76230411,92-06 156 Avenue<br>http://www.queenslibrary.org/
Queens Library - Kew Gardens Hills,40.6638048,-73.84179686,72-33 Vleigh Place<br>http://www.queenslibrary.org/
Queens Library - Laurelton,40.72591882,-73.82071907,134-26 225 Street<br>http://www.queenslibrary.org/
Queens Library - Lefferts,40.67695306,-73.74567356,103-34 Lefferts Boulevard<br>http://www.queenslibrary.org/
Queens Library - Lefrak City,40.68690762,-73.8248297,98-30 57 Avenue<br>http://www.queenslibrary.org/
Queens Library - Maspeth,40.73744514,-73.86166526,69-70 Grand Avenue<br>http://www.queenslibrary.org/
Queens Library - McGoldrick,40.72709376,-73.89296053,155-06 Roosevelt Avenue<br>http://www.queenslibrary.org/
Queens Library - Middle Village,40.76375065,-73.80983348,72-31 Metropolitan Avenue<br>http://www.queenslibrary.org/
Queens Library - Mitchell-Linden,40.7129439,-73.88086427,29-42 Union Street<br>http://www.queenslibrary.org/
Queens Library - North Forest Park,40.77112586,-73.82691581,98-27 Metropolitan Avenue<br>http://www.queenslibrary.org/
Queens Library - North Hills,40.71118596,-73.85367278,57-04 Marathon Parkway<br>http://www.queenslibrary.org/
Starbucks,40.75924547,-73.73182668,1 Penn Plaza<br>http://www.starbucks.com
Starbucks,40.75115973,-73.99217576,370 7th Avenue<br>http://www.starbucks.com
Starbucks,40.74890009,-73.99255082,450 W. 33rd Street<br>http://www.starbucks.com
Starbucks,40.75355267,-73.99878726,424 Park Avenue South<br>http://www.starbucks.com
Starbucks,40.74425782,-73.98376379,261 Fifth Avenue<br>http://www.starbucks.com
Starbucks,40.74494162,-73.98658217,395 Third Avenue<br>http://www.starbucks.com
Starbucks,40.7420258,-73.98032522,776 Avenue of the Americas<br>http://www.starbucks.com
Starbucks,40.74519733,-73.99082684,2855 Broadway<br>http://www.starbucks.com
Starbucks,40.80484153,-73.96684062,750 6th Avenue<br>http://www.starbucks.com
Starbucks,40.74363561,-73.99175386,304 Park Avenue South<br>http://www.starbucks.com
Starbucks,40.74015482,-73.98695482,2929 Broadway<br>http://www.starbucks.com
Starbucks,40.80714655,-73.96498639,300 W 23rd St<br>http://www.starbucks.com
Starbucks,40.74526628,-73.99891011,296-300 Third Avenue<br>http://www.starbucks.com
Starbucks,40.7387875,-73.98353418,684 Avenue of the Americas<br>http://www.starbucks.com
Starbucks,40.74183789,-73.993212,177 Eighth Avenue<br>http://www.starbucks.com
Starbucks,40.74321321,-74.00057741,41 Union Square West<br>http://www.starbucks.com
Starbucks,40.73718813,-73.99092471,77-83 West 125th Street<br>http://www.starbucks.com
Starbucks,40.80780075,-73.94508847,124 Eighth Avenue<br>http://www.starbucks.com
Starbucks,40.7412315,-74.000996,286A First Avenue<br>http://www.starbucks.com
LaGuardia Airport - Hertz,40.73307525,-73.98082219,Marine Air Terminal Building #22<br>https://www.hertz.com/rentacar/index.jsp?bsc=t&targetPage=reservationOnHomepage.jsp
McDonald's,40.76787221,-73.8872782,169 Tillary St<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.69645324,-73.98348869,208 Varick Street<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.72876901,-74.00505403,US Air East End Terminal - LaGuardia<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.77037036,-73.86404381,British Air Terminal - JFK<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.64947138,-73.78283331,599 E Tremont Ave<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.84667132,-73.89342598,2505 Southern Blvd<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.856437,-73.88120093,372 E Fordham Rd<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.86160165,-73.89245061,36 W Fordham Rd<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.86249551,-73.90287429,875 Garrison Ave<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.81693256,-73.8925699,701 Utica Ave<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.65612904,-73.93056204,5707-13 Church Ave<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.65269581,-73.92320265,2797 Linden Blvd<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.67013921,-73.86034203,1133 Eastern Parkway<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.66926078,-73.93073292,Atlantic Terminal<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.68459193,-73.9768934,3525 Fort Hamilton Parkway<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.64458413,-73.9877106,1656 Utica Ave<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.63210251,-73.92864709,2240-50 Flatbush Ave.<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.61504725,-73.92896363,2028 Rockaway Parkway<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.63307401,-73.88990218,136-61 Roosevelt Ave<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.76033238,-73.8279723,166-01 Baisley Boulevard<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.68015651,-73.77726789,33-80 Queens Blvd<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.74367844,-73.92692829,69-35 Grand Ave<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.72678302,-73.89426922,451 Lexington Avenue<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.75315987,-73.97450893,966 1st Avenue<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.75578588,-73.96432124,3794 Broadway<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.83435379,-73.94422554,1815 Forest Ave<br>http://www.mcdonalds.com/wireless.html
Pomegranate Café,40.62549002,-74.14934138,133 Greene Street<br>http://www.queenslibrary.org/
Queens Library - Peninsula  (ALC),40.68086218,-73.84648873,92-25 Rockaway Beach Boulevard<br>http://www.queenslibrary.org/
Queens Library - Pomonok,40.58583974,-73.81606162,158-21 Jewel Avenue<br>http://www.queenslibrary.org/
Queens Library - Poppenhusen,40.73303457,-73.80987989,121-23 14 Avenue<br>http://www.queenslibrary.org/
Queens Library - Queens Village,40.78624947,-73.84601328,94-11 217 Street<br>http://www.queenslibrary.org/
Queens Library - Queensboro Hill,40.71988589,-73.73904382,60-05 Main Street<br>http://www.queenslibrary.org/
Queens Library - Rego Park,40.74293128,-73.82516996,91-41 63 Drive<br>http://www.queenslibrary.org/
Queens Library - Richmond Hill,40.72731689,-73.86450283,118-14 Hillside Avenue<br>http://www.queenslibrary.org/
Queens Library - Ridgewood,40.7007656,-73.83162542,20-12 Madison Street<br>http://www.queenslibrary.org/
Queens Library - Rochdale Village  (ALC),40.70517264,-73.90257238,169-09 137 Avenue<br>http://www.queenslibrary.org/
Queens Library - Rosedale,40.67287554,-73.77059021,144-20 243 Street<br>http://www.queenslibrary.org/
Queens Library - Seaside,40.65996396,-73.73991101,116-15 Rockaway Beach Boulevard<br>http://www.queenslibrary.org/
Queens Library - South Hollis,40.5793912,-73.8377356,204-01 Hollis Avenue<br>http://www.queenslibrary.org/
McDonald's,40.70701089,-73.75379667,216-07 LINDEN BLVD<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.69662245,-73.74311786,32-55 31ST STREET<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.76061869,-73.92615566,22 50 31ST ST<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.77526038,-73.91226416,31-46 21ST ST<br>http://www.mcdonalds.com/wireless.html
Starbucks,40.76638289,-73.93097229,101-102 Queens Boulevard<br>http://www.starbucks.com
Starbucks,40.72623883,-73.85275185,51-06 Northern Blvd<br>http://www.starbucks.com
Starbucks,40.75271339,-73.91010661,31-44 Steinway Street<br>http://www.starbucks.com
Starbucks,40.76031141,-73.91822184,3711 35th Avenue<br>http://www.starbucks.com
Starbucks,40.75592319,-73.92312168,7000 Austin Street<br>http://www.starbucks.com
Starbucks,40.72068248,-73.8467134,8989 Union Turnpike<br>http://www.starbucks.com
Starbucks,40.70726199,-73.8552861,107-12 Continental Avenue<br>http://www.starbucks.com
Starbucks,40.72027726,-73.84444961,22-04 31st Avenue<br>http://www.starbucks.com
Starbucks,40.76683722,-73.92883466,41-02 Main Street<br>http://www.starbucks.com
McDonald's,40.75798036,-73.82971742,803 Forest Ave<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.62930724,-74.11586068,3267 Richmond Ave<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.55944634,-74.16913235,501 Bay St<br>http://www.mcdonalds.com/wireless.html
McDonald's,40.62994413,-74.07634051,2795 Richmond Ave<br>http://www.mcdonalds.com/wireless.html
Starbucks,40.57643193,-74.1667743,2505 Richmond Avenue<br>http://www.starbucks.com
Starbucks,40.58653202,-74.16732517,2530 Hylan Boulevard<br>http://www.starbucks.com
Starbucks,40.56999218,-74.11022186,2070 Victory Blvd<br>http://www.starbucks.com
The UPS Store,40.61220557,-74.13258616,150 L Greaves Lane<br>http://www.theupsstore.com/
The UPS Store,40.55400231,-74.14372341,1652 Richmond Ave<br>http://www.theupsstore.com/
The UPS Store,40.60806125,-74.16228663,1351 Forest Ave<br>http://www.theupsstore.com/
11 Broadway,40.62621153,-74.13556441,11 Broadway<br>http://www.avis.com
Avis of West 76th Street,40.75130148,-73.97262039,216 West 76th Street<br>http://www.borders.com
Borders,40.76873532,-73.98285889,461 Park Avenue South<br>http://www.borders.com
Borders,40.74519907,-73.98243549,550 Second Avenue<br>http://www.borders.com
Borders,40.74272506,-73.97684977,100 Broadway<br>http://www.borders.com
Buchmann Tower,40.70797549,-74.01111281,680 Fifth Avenue<br>http://www.cyber-cafe.com
Cafe World,40.76126458,-73.98615654,50 Trinity Place<br>http://www.FedexKinkos.com
Fedex Kinko's,40.77453732,-73.95942172,1122 Lexington Avenue<br>http://www.FedexKinkos.com
Fedex Kinko's,40.77453732,-73.95942172,221 West 72nd Street<br>http://www.FedexKinkos.com
Fedex Kinko's,40.77920917,-73.98236514,221 West 72nd Street<br>http://www.FedexKinkos.com
Fedex Kinko's,40.77920917,-73.98236514,240 Central Park South<br>http://www.FedexKinkos.com
Fedex Kinko's,40.76734349,-73.98122388,240 Central Park South<br>http://www.FedexKinkos.com
Fedex Kinko's,40.76734349,-73.98122388,233 West 54th Street<br>http://www.FedexKinkos.com
Fedex Kinko's,40.76450296,-73.98300799,233 West 54th Street<br>http://www.FedexKinkos.com
Fedex Kinko's,40.76450296,-73.98300799,641 Lexington Avenue<br>http://www.FedexKinkos.com
Fedex Kinko's,40.75890919,-73.96974759,641 Lexington Avenue<br>http://www.FedexKinkos.com
Fedex Kinko's,40.75890919,-73.96974759,153 East 53rd Street<br>http://www.FedexKinkos.com
Fedex Kinko's,40.75815169,-73.96993203,153 East 53rd Street<br>http://www.FedexKinkos.com
Fedex Kinko's,40.75815169,-73.96993203,650 Avenue of the Americas<br>http://www.FedexKinkos.com
Fedex Kinko's,40.74065494,-73.99390138,650 Avenue of the Americas<br>http://www.FedexKinkos.com
Fedex Kinko's,40.74065494,-73.99390138,16 East 52nd Street<br>http://www.FedexKinkos.com
Fedex Kinko's,40.7591548,-73.97527747,16 East 52nd Street<br>http://www.FedexKinkos.com
Fedex Kinko's,40.7591548,-73.97527747,1211 Avenue Of Americas<br>http://www.FedexKinkos.com
Fedex Kinko's,40.75870598,-73.98247524,1211 Avenue Of Americas<br>http://www.FedexKinkos.com
Fedex Kinko's,40.75870598,-73.98247524,257 Park Avenue South<br>http://www.FedexKinkos.com
Fedex Kinko's,40.73857661,-73.9871536,257 Park Avenue South<br>http://www.FedexKinkos.com
Fedex Kinko's,40.73857661,-73.9871536,747 3rd Ave<br>http://www.FedexKinkos.com
Fedex Kinko's,40.75348066,-73.97203117,747 3rd Ave<br>http://www.FedexKinkos.com
Fedex Kinko's,40.75348066,-73.97203117,71 Vanderbilt Street<br>http://www.FedexKinkos.com
Fedex Kinko's,40.75438461,-73.97611662,71 Vanderbilt Street<br>http://www.FedexKinkos.com
Fedex Kinko's,40.75438461,-73.97611662,305 East 46th Street<br>http://www.FedexKinkos.com
Fedex Kinko's,40.75230255,-73.96957735,305 East 46th Street<br>http://www.FedexKinkos.com
Fedex Kinko's,40.75230255,-73.96957735,60 West 40th Street<br>http://www.FedexKinkos.com
Fedex Kinko's,40.75305757,-73.98442216,60 West 40th Street<br>http://www.FedexKinkos.com
Fedex Kinko's,40.75305757,-73.98442216,600 3rd Avenue<br>http://www.FedexKinkos.com
Fedex Kinko's,40.74936168,-73.9759524,600 3rd Avenue<br>http://www.FedexKinkos.com
Fedex Kinko's,40.74936168,-73.9759524,245 Seventh Avenue<br>http://www.FedexKinkos.com
Fedex Kinko's,40.74481877,-73.99476713,245 Seventh Avenue<br>http://www.FedexKinkos.com
Fedex Kinko's,40.74481877,-73.99476713,500 7th Avenue<br>http://www.FedexKinkos.com
Fedex Kinko's,40.75341773,-73.98969171,500 7th Avenue<br>http://www.FedexKinkos.com
Fedex Kinko's,40.75341773,-73.98969171,191 Madison Avenue<br>http://www.FedexKinkos.com
Fedex Kinko's,40.74803439,-73.98236978,191 Madison Avenue<br>http://www.FedexKinkos.com
Fedex Kinko's,40.74803439,-73.98236978,350 Fifth Avenue<br>http://www.FedexKinkos.com
Fedex Kinko's,40.74834223,-73.98544462,350 Fifth Avenue<br>http://www.FedexKinkos.com
Fedex Kinko's,40.74834223,-73.98544462,250 East Houston Street<br>http://www.FedexKinkos.com
Fedex Kinko's,40.72209408,-73.98488396,250 East Houston Street<br>http://www.FedexKinkos.com
Fedex Kinko's,40.72209408,-73.98488396,105 Duane Street<br>http://www.FedexKinkos.com
Fedex Kinko's,40.71583138,-74.00589795,105 Duane Street<br>http://www.FedexKinkos.com
Fedex Kinko's,40.71583138,-74.00589795,100 Wall Street<br>http://www.FedexKinkos.com
Fedex Kinko's,40.70522282,-74.00679509,100 Wall Street<br>http://www.FedexKinkos.com
Fedex Kinko's,40.70522282,-74.00679509,21 Astor Place<br>http://www.FedexKinkos.com
Fedex Kinko's,40.73012594,-73.99179522,21 Astor Place<br>http://www.FedexKinkos.com
Flat Iron,40.73012594,-73.99179522,10 West 18th Street<br>http://www.grandcentralterminal.com/
Happy Shabu Shabu & Cafe,40.75265287,-73.97709536,54 Canal Street<br>http://www.lennysnyc.com/
Lennys,40.75736297,-73.96636614,489 Columbus Ave<br>http://www.lennysnyc.com/
Little Park,40.78477369,-73.97305078,1250 Broadway<br>http://www.mbe.com
Mail Boxes Etc,40.76243707,-73.96332049,1173 Second Ave<br>http://www.mbe.com
McDonalds,40.76243707,-73.96332049,317 Broadway<br>http://www.mcdonalds.com/wireless.html
McDonalds,40.71581494,-74.00532439,160 Broadway<br>http://www.mcdonalds.com/wireless.html
McDonalds,40.70933974,-74.0099516,26 Bowery<br>http://www.mcdonalds.com/wireless.html
McDonalds,40.71495043,-73.9972657,262 Canal St<br>http://www.mcdonalds.com/wireless.html
McDonalds,40.71852139,-74.00114356,167 Chambers Street<br>http://www.mcdonalds.com/wireless.html
McDonalds,40.71633334,-74.01059114,6 Water Street<br>http://www.mcdonalds.com/wireless.html
McDonalds,40.70296892,-74.01227691,213 Madison Street<br>http://www.mcdonalds.com/wireless.html
McDonalds,40.71294079,-73.98923626,114 Delancey St<br>http://www.mcdonalds.com/wireless.html
McDonalds,40.71886938,-73.98824325,136 W 3rd St<br>http://www.mcdonalds.com/wireless.html
McDonalds,40.73075752,-74.00110769,724 Broadway<br>http://www.mcdonalds.com/wireless.html
McDonalds,40.72911871,-73.9932566,102-106 1st Ave<br>http://www.mcdonalds.com/wireless.html
